"state","year","sales"
"Alaska",1985,33.34
"Alaska",1986,33.34
"Alaska",1987,33.34
"Alaska",1988,33.34
"Alaska",1989,33.34
"Alaska",1990,33.34
"Alaska",1991,33.34
"Alaska",1992,33.34
"Alaska",1993,33.34
"Alaska",1994,33.34
"Alaska",1995,33.34
"Alaska",1996,33.34
"Alaska",1997,33.34
"Alaska",1998,33.34
"Alaska",1999,33.34
"Alaska",2000,33.34
"Alaska",2001,33.34
"Alaska",2002,33.34
"Alaska",2003,33.34
"Alaska",2004,33.34
"Alaska",2005,33.34
"Alaska",2006,33.34
"Alaska",2007,33.34
"Alaska",2008,33.34
"Alaska",2009,33.34
"Alaska",2010,33.34
"Alaska",2011,33.34
"Alaska",2012,33.34
"Alabama",1985,33.34
"Alabama",1986,33.34
"Alabama",1987,33.34
"Alabama",1988,33.34
"Alabama",1989,33.34
"Alabama",1990,33.34
"Alabama",1991,33.34
"Alabama",1992,33.34
"Alabama",1993,33.34
"Alabama",1994,33.34
"Alabama",1995,33.34
"Alabama",1996,33.34
"Alabama",1997,33.34
"Alabama",1998,33.34
"Alabama",1999,33.34
"Alabama",2000,33.34
"Alabama",2001,33.34
"Alabama",2002,33.34
"Alabama",2003,33.34
"Alabama",2004,33.34
"Alabama",2005,33.34
"Alabama",2006,33.34
"Alabama",2007,33.34
"Alabama",2008,33.34
"Alabama",2009,33.34
"Alabama",2010,33.34
"Alabama",2011,50
"Alabama",2012,50
"Arkansas",1985,33.34
"Arkansas",1986,33.34
"Arkansas",1987,33.34
"Arkansas",1988,33.34
"Arkansas",1989,33.34
"Arkansas",1990,33.34
"Arkansas",1991,33.34
"Arkansas",1992,33.34
"Arkansas",1993,33.34
"Arkansas",1994,33.34
"Arkansas",1995,50
"Arkansas",1996,50
"Arkansas",1997,50
"Arkansas",1998,50
"Arkansas",1999,50
"Arkansas",2000,50
"Arkansas",2001,50
"Arkansas",2002,50
"Arkansas",2003,50
"Arkansas",2004,50
"Arkansas",2005,50
"Arkansas",2006,50
"Arkansas",2007,50
"Arkansas",2008,50
"Arkansas",2009,50
"Arkansas",2010,50
"Arkansas",2011,50
"Arkansas",2012,50
"Arizona",1985,33.34
"Arizona",1986,33.34
"Arizona",1987,33.34
"Arizona",1988,33.34
"Arizona",1989,33.34
"Arizona",1990,33.34
"Arizona",1991,50
"Arizona",1992,50
"Arizona",1993,50
"Arizona",1994,50
"Arizona",1995,50
"Arizona",1996,50
"Arizona",1997,50
"Arizona",1998,50
"Arizona",1999,50
"Arizona",2000,50
"Arizona",2001,50
"Arizona",2002,50
"Arizona",2003,50
"Arizona",2004,50
"Arizona",2005,50
"Arizona",2006,50
"Arizona",2007,60
"Arizona",2008,70
"Arizona",2009,80
"Arizona",2010,80
"Arizona",2011,80
"Arizona",2012,80
"California",1985,33.34
"California",1986,33.34
"California",1987,33.34
"California",1988,33.34
"California",1989,33.34
"California",1990,33.34
"California",1991,33.34
"California",1992,33.34
"California",1993,50
"California",1994,50
"California",1995,50
"California",1996,50
"California",1997,50
"California",1998,50
"California",1999,50
"California",2000,50
"California",2001,50
"California",2002,50
"California",2003,50
"California",2004,50
"California",2005,50
"California",2006,50
"California",2007,50
"California",2008,50
"California",2009,50
"California",2010,50
"California",2011,100
"California",2012,100
"Colorado",1985,33.34
"Colorado",1986,33.34
"Colorado",1987,33.34
"Colorado",1988,33.34
"Colorado",1989,33.34
"Colorado",1990,33.34
"Colorado",1991,33.34
"Colorado",1992,33.34
"Colorado",1993,33.34
"Colorado",1994,33.34
"Colorado",1995,33.34
"Colorado",1996,33.34
"Colorado",1997,33.34
"Colorado",1998,33.34
"Colorado",1999,33.34
"Colorado",2000,33.34
"Colorado",2001,33.34
"Colorado",2002,33.34
"Colorado",2003,33.34
"Colorado",2004,33.34
"Colorado",2005,33.34
"Colorado",2006,33.34
"Colorado",2007,33.34
"Colorado",2008,33.34
"Colorado",2009,100
"Colorado",2010,100
"Colorado",2011,100
"Colorado",2012,100
"Connecticut",1985,50
"Connecticut",1986,50
"Connecticut",1987,50
"Connecticut",1988,50
"Connecticut",1989,50
"Connecticut",1990,50
"Connecticut",1991,50
"Connecticut",1992,50
"Connecticut",1993,50
"Connecticut",1994,50
"Connecticut",1995,50
"Connecticut",1996,50
"Connecticut",1997,50
"Connecticut",1998,50
"Connecticut",1999,50
"Connecticut",2000,50
"Connecticut",2001,50
"Connecticut",2002,50
"Connecticut",2003,50
"Connecticut",2004,50
"Connecticut",2005,50
"Connecticut",2006,50
"Connecticut",2007,50
"Connecticut",2008,50
"Connecticut",2009,50
"Connecticut",2010,50
"Connecticut",2011,50
"Connecticut",2012,50
"Delaware",1985,33.34
"Delaware",1986,33.34
"Delaware",1987,33.34
"Delaware",1988,33.34
"Delaware",1989,33.34
"Delaware",1990,33.34
"Delaware",1991,33.34
"Delaware",1992,33.34
"Delaware",1993,33.34
"Delaware",1994,33.34
"Delaware",1995,33.34
"Delaware",1996,33.34
"Delaware",1997,33.34
"Delaware",1998,33.34
"Delaware",1999,33.34
"Delaware",2000,33.34
"Delaware",2001,33.34
"Delaware",2002,33.34
"Delaware",2003,33.34
"Delaware",2004,33.34
"Delaware",2005,33.34
"Delaware",2006,33.34
"Delaware",2007,33.34
"Delaware",2008,33.34
"Delaware",2009,33.34
"Delaware",2010,33.34
"Delaware",2011,33.34
"Delaware",2012,33.34
"Florida",1985,50
"Florida",1986,50
"Florida",1987,50
"Florida",1988,50
"Florida",1989,50
"Florida",1990,50
"Florida",1991,50
"Florida",1992,50
"Florida",1993,50
"Florida",1994,50
"Florida",1995,50
"Florida",1996,50
"Florida",1997,50
"Florida",1998,50
"Florida",1999,50
"Florida",2000,50
"Florida",2001,50
"Florida",2002,50
"Florida",2003,50
"Florida",2004,50
"Florida",2005,50
"Florida",2006,50
"Florida",2007,50
"Florida",2008,50
"Florida",2009,50
"Florida",2010,50
"Florida",2011,50
"Florida",2012,50
"Georgia",1985,33.34
"Georgia",1986,33.34
"Georgia",1987,33.34
"Georgia",1988,33.34
"Georgia",1989,33.34
"Georgia",1990,33.34
"Georgia",1991,33.34
"Georgia",1992,33.34
"Georgia",1993,33.34
"Georgia",1994,33.34
"Georgia",1995,50
"Georgia",1996,50
"Georgia",1997,50
"Georgia",1998,50
"Georgia",1999,50
"Georgia",2000,50
"Georgia",2001,50
"Georgia",2002,50
"Georgia",2003,50
"Georgia",2004,50
"Georgia",2005,50
"Georgia",2006,80
"Georgia",2007,90
"Georgia",2008,100
"Georgia",2009,100
"Georgia",2010,100
"Georgia",2011,100
"Georgia",2012,100
"Hawaii",1985,33.34
"Hawaii",1986,33.34
"Hawaii",1987,33.34
"Hawaii",1988,33.34
"Hawaii",1989,33.34
"Hawaii",1990,33.34
"Hawaii",1991,33.34
"Hawaii",1992,33.34
"Hawaii",1993,33.34
"Hawaii",1994,33.34
"Hawaii",1995,33.34
"Hawaii",1996,33.34
"Hawaii",1997,33.34
"Hawaii",1998,33.34
"Hawaii",1999,33.34
"Hawaii",2000,33.34
"Hawaii",2001,33.34
"Hawaii",2002,33.34
"Hawaii",2003,33.34
"Hawaii",2004,33.34
"Hawaii",2005,33.34
"Hawaii",2006,33.34
"Hawaii",2007,33.34
"Hawaii",2008,33.34
"Hawaii",2009,33.34
"Hawaii",2010,33.34
"Hawaii",2011,33.34
"Hawaii",2012,33.34
"Iowa",1985,100
"Iowa",1986,100
"Iowa",1987,100
"Iowa",1988,100
"Iowa",1989,100
"Iowa",1990,100
"Iowa",1991,100
"Iowa",1992,100
"Iowa",1993,100
"Iowa",1994,100
"Iowa",1995,100
"Iowa",1996,100
"Iowa",1997,100
"Iowa",1998,100
"Iowa",1999,100
"Iowa",2000,100
"Iowa",2001,100
"Iowa",2002,100
"Iowa",2003,100
"Iowa",2004,100
"Iowa",2005,100
"Iowa",2006,100
"Iowa",2007,100
"Iowa",2008,100
"Iowa",2009,100
"Iowa",2010,100
"Iowa",2011,100
"Iowa",2012,100
"Idaho",1985,33.34
"Idaho",1986,33.34
"Idaho",1987,33.34
"Idaho",1988,33.34
"Idaho",1989,33.34
"Idaho",1990,33.34
"Idaho",1991,33.34
"Idaho",1992,33.34
"Idaho",1993,50
"Idaho",1994,50
"Idaho",1995,50
"Idaho",1996,50
"Idaho",1997,50
"Idaho",1998,50
"Idaho",1999,50
"Idaho",2000,50
"Idaho",2001,50
"Idaho",2002,50
"Idaho",2003,50
"Idaho",2004,50
"Idaho",2005,50
"Idaho",2006,50
"Idaho",2007,50
"Idaho",2008,50
"Idaho",2009,50
"Idaho",2010,50
"Idaho",2011,50
"Idaho",2012,50
"Illinois",1985,33.34
"Illinois",1986,33.34
"Illinois",1987,50
"Illinois",1988,50
"Illinois",1989,50
"Illinois",1990,50
"Illinois",1991,50
"Illinois",1992,50
"Illinois",1993,50
"Illinois",1994,50
"Illinois",1995,50
"Illinois",1996,50
